[26452:18396:0617/192355.605:INFO:CONSOLE:1] "chrome chrome chrome [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.605:INFO:CONSOLE:1] "path disabled", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.605:INFO:CONSOLE:1] "icon [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.605:INFO:CONSOLE:1] "chrome chrome chrome [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.605:INFO:CONSOLE:1] "path disabled", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.605:INFO:CONSOLE:1] "icon [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.607:INFO:CONSOLE:1] "chrome chrome chrome [object Object]", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.672:INFO:CONSOLE:1] "errrrrrr undefined", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.672:INFO:CONSOLE:1] "errrrrrr undefined", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.672:INFO:CONSOLE:1] "errrrrrr undefined", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.672:INFO:CONSOLE:1] "errrrrrr undefined", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.672:INFO:CONSOLE:1] "errrrrrr undefined", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192355.672:INFO:CONSOLE:1] "errrrrrr undefined", source: chrome-extension://ffbkglfijbcbgblgflchnbphjdllaogb/background.js (1)
[26452:18396:0617/192356.665:INFO:CONSOLE:852] "Refused to execute inline script because it violates the following Content Security Policy directive: "script-src 'self' 'unsafe-eval' blob: open.spotifycdn.com open-exp.spotifycdn.com open-review.spotifycdn.com open-exp-review.spotifycdn.com quicksilver.scdn.co www.google-analytics.com www.googletagmanager.com static.ads-twitter.com analytics.twitter.com s.pinimg.com sc-static.net https://www.google.com/recaptcha/ cdn.ravenjs.com connect.facebook.net www.gstatic.com sb.scorecardresearch.com pixel-static.spotify.com cdn.cookielaw.org geolocation.onetrust.com www.googleoptimize.com www.fastly-insights.com static.hotjar.com script.hotjar.com https://www.googleadservices.com/pagead/conversion_async.js https://www.googleadservices.com/pagead/conversion/ https://analytics.tiktok.com/i18n/pixel/sdk.js https://analytics.tiktok.com/i18n/pixel/identify.js https://analytics.tiktok.com/i18n/pixel/config.js https://www.redditstatic.com/ads/pixel.js https://t.contentsquare.net/uxa/22f14577e19f3.js https://get.microsoft.com/badge/ms-store-badge.bundled.js 'sha256-WfsTi7oVogdF9vq5d14s2birjvCglqWF842fyHhzoNw=' 'sha256-KRzjHxCdT8icNaDOqPBdY0AlKiIh5F8r4bnbe1PQwss=' 'sha256-Z5wh7XXSBR1+mTxLSPFhywCZJt77+uP1GikAgPIsu2s='". Either the 'unsafe-inline' keyword, a hash ('sha256-o2wzIImHJ4+WWE5DCTR+myWU0UNml0+wwpDXRo++vII='), or a nonce ('nonce-...') is required to enable inline execution.
", source: https://www.googletagmanager.com/gtm.js?id=GTM-PZHN3VD (852)
[26452:18396:0617/192400.189:ERROR:components\device_event_log\device_event_log_impl.cc:202] [19:24:00.189] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Impossibile trovare elemento. (0x490)
[26452:18396:0617/192400.651:INFO:CONSOLE:1] "Uncaught (in promise) HttpResponseError", source: https://open-exp.spotifycdn.com/cdn/build/web-player/web-player.4a20c739.js (1)
[26452:5776:0617/192424.814:INFO:chrome\browser\extensions\extension_garbage_collector.cc:184] Garbage collection for extensions on file thread is complete.
